POINT_X,POINT_Y,PLA,grid_cod,A,AC,B,CIB,CICCB,CUS,DBB,DOB,OC,P
723470.82847,4367286.89271,0.0586852990090847,69915,17.511999130249023,8,0,0.1670230031013488,0.3372400104999542,4,703.4340209960938,913.7999877929688,2,2.406529903411865
723478.56504,4367286.9012,0.2033350020647049,69916,17.33099937438965,8,0,0.1666840016841888,0.3350290060043335,5,711.3510131835938,922.552001953125,2,1.6837899684906006
723486.301531,4367286.90978,0.3815419971942901,69917,17.160999298095703,8,0,0.1870570033788681,0.3328959941864013,5,719.2689819335938,931.3060302734376,2,0.5755239725112915
723494.038022,4367286.91836,0.5878720283508301,69918,17.20800018310547,8,0,0.1869560033082962,0.3308460116386413,5,727.1890258789062,940.0609741210938,3,1.6867799758911133
723501.774592,4367286.92695,0.7546039819717407,69919,17.09000015258789,8,0,0.1868599951267242,0.3288820087909698,5,733.1300048828125,948.8189697265624,3,1.5146100521087646
723509.511087,4367286.93547,0.8608109951019287,69920,17.066999435424805,8,0,0.1867689937353134,0.327008992433548,5,741.052978515625,957.5780029296876,3,0.6937860250473022
723517.247657,4367286.94407,0.8582519888877869,69921,17.052000045776367,5,0,0.1866820007562637,0.3252280056476593,5,748.97802734375,966.3380126953124,3,0.7404069900512695
723524.984151,4367286.95269,0.8558080196380615,69922,17.054000854492188,5,0,0.1866820007562637,0.323540985584259,5,756.9039916992188,966.3380126953124,3,1.0101399421691897
723532.720645,4367286.96131,0.8534870147705078,69923,17.104999542236328,5,0,0.186599999666214,0.3219510018825531,5,764.8319702148438,975.1010131835938,3,0.7697449922561646
723540.457219,4367286.96986,0.8512880206108093,69924,16.895999908447266,10,0,0.1865220069885254,0.3204579949378967,3,772.760986328125,983.864013671875,4,4.325510025024414
723548.193714,4367286.97849,1.0255600214004517,69925,16.72599983215332,10,0,0.1864479929208755,0.3190619945526123,3,780.6920166015625,992.6300048828124,4,2.028170108795166
723555.93021,4367286.98714,1.0402899980545044,69926,16.743000030517578,10,0,0.186378002166748,0.3177619874477386,3,786.6409912109375,1001.4000244140624,4,0.4304679930210113
723563.666784,4367286.99579,1.0436899662017822,69927,16.704999923706055,10,0,0.1863120049238205,0.3165580034255981,3,794.573974609375,1010.1599731445312,4,0.4403420090675354
723571.40328,4367287.00445,1.0471099615097046,69928,16.68600082397461,10,0,0.1862509995698928,0.315447986125946,3,802.5089721679688,1018.9299926757812,4,0.5541059970855713
723579.139857,4367287.01304,1.0480600595474243,69929,16.656999588012695,10,0,0.1741079986095428,0.3144299983978271,3,810.4439697265625,1027.699951171875,4,0.1796319931745529
723586.876355,4367287.02171,1.0508300065994265,69930,16.628999710083008,10,0,0.1741079986095428,0.3135020136833191,3,818.3809814453125,1027.699951171875,4,0.1252849996089935
723594.612854,4367287.03039,1.056839942932129,69931,16.61199951171875,10,0,0.1738819926977157,0.3126620054244995,3,826.3200073242188,1036.47998046875,4,0.2113080024719238
723602.34943,4367287.03908,1.060289978981018,69932,16.5939998626709,10,0,0.173662006855011,0.3119049966335296,3,834.2589721679688,1045.25,4,0.1744170039892196
723610.085929,4367287.04778,1.0637400150299072,69933,16.56999969482422,10,0,0.1734469980001449,0.3114460110664367,3,842.2000122070312,1054.02001953125,4,0.3291729986667633
723617.822429,4367287.05648,1.0663299560546875,69934,16.547000885009766,10,0,0.17323799431324,0.310822993516922,3,848.156005859375,1062.800048828125,4,0.2471060007810592
723625.559009,4367287.06512,1.0697699785232544,69935,16.547000885009766,10,0,0.1730339974164962,0.3102760016918182,3,856.0980224609375,1071.5799560546875,4,0.2803800106048584
723633.295511,4367287.07384,1.073199987411499,69936,16.33300018310547,4,0,0.1728350073099136,0.3097999989986419,5,864.0419921875,1080.3599853515625,2,1.5009100437164309
723641.032089,4367287.08257,1.0766199827194214,69937,16.208999633789062,4,0,-9999.0,0.3093920052051544,3,871.9860229492188,0.0,4,0.5416690111160278
722697.173176,4367293.78208,-9999.0,70153,-9999.0,-9999,1,0.1593720018863678,-9999.0,-9999,23.32379913330078,-9999.0,-9999,-9999.0
722704.909682,4367293.78987,-9999.0,70154,-9999.0,-9999,1,0.1559379994869232,-9999.0,-9999,16.124500274658203,-9999.0,-9999,-9999.0
722712.646112,4367293.79768,-9999.0,70155,-9999.0,-9999,1,0.1570959985256195,-9999.0,-9999,8.944270133972168,185.3370056152344,-9999,-9999.0
722720.382545,4367293.80541,2.057420015335083,70156,18.8799991607666,4,0,0.1592459976673126,0.6900910139083862,5,2.828429937362671,193.3999938964844,3,13.051199913024902
722728.119053,4367293.81323,1.6129300594329834,70157,21.27400016784668,4,0,0.1592459976673126,0.6933889985084534,5,4.0,193.3999938964844,3,4.698860168457031
722735.855485,4367293.82106,1.5774799585342407,70158,20.49099922180176,4,0,0.1613200008869171,0.6959649920463562,5,8.944270133972168,201.4929962158203,3,16.73740005493164
722743.591994,4367293.8289,1.532289981842041,70159,21.048999786376957,4,0,0.1630550026893615,0.697501003742218,2,16.124500274658203,209.61300659179688,4,19.690200805664062
722751.328426,4367293.83674,1.489300012588501,70160,22.072999954223636,4,0,0.1644189953804016,0.6977750062942505,2,23.32379913330078,217.7559967041016,4,6.707429885864258
722759.064862,4367293.84451,1.4473299980163574,70161,22.152999877929688,4,0,0.1654489934444427,0.69793301820755,2,30.46310043334961,225.92100524902344,4,3.797930002212525
722766.801373,4367293.85237,1.4078700542449951,70162,22.132999420166016,4,0,0.1661950051784515,0.6959760189056396,2,37.57659912109375,234.10699462890625,4,4.140429973602295
