OBJECTID,Id,Tipo,Eje_X,Eje_Y,RASTERVALU
147,2660,Borde_Area_Estudio,727440.7057,4360836.5533,
148,2661,Borde_Area_Estudio,727450.7057,4360836.5533,
149,2662,Borde_Area_Estudio,727460.7057,4360836.5533,
150,2663,Borde_Area_Estudio,727470.7057,4360836.5533,
151,2664,Borde_Area_Estudio,727480.7057,4360836.5533,
152,2665,Borde_Area_Estudio,727490.7057,4360836.5533,
153,2666,Borde_Area_Estudio,727500.7057,4360836.5533,
154,2667,Borde_Area_Estudio,727510.7057,4360836.5533,
155,2668,Borde_Area_Estudio,727520.7057,4360836.5533,
156,2669,Borde_Area_Estudio,727530.7057,4360836.5533,
157,2670,Borde_Area_Estudio,727540.7057,4360836.5533,
158,2671,Borde_Area_Estudio,727550.7057,4360836.5533,
159,2672,Borde_Area_Estudio,727560.7057,4360836.5533,
160,2673,Catarroja,727570.7057,4360836.5533,
161,2674,Catarroja,727580.7057,4360836.5533,
162,2675,Catarroja,727590.7057,4360836.5533,
163,2819,Borde_Area_Estudio,727420.7057,4360846.5533,
164,2820,Borde_Area_Estudio,727430.7057,4360846.5533,
165,2821,Borde_Area_Estudio,727440.7057,4360846.5533,
166,2822,Borde_Area_Estudio,727450.7057,4360846.5533,
167,2823,Borde_Area_Estudio,727460.7057,4360846.5533,
168,2824,Borde_Area_Estudio,727470.7057,4360846.5533,
169,2825,Borde_Area_Estudio,727480.7057,4360846.5533,
170,2826,Borde_Area_Estudio,727490.7057,4360846.5533,
171,2827,Borde_Area_Estudio,727500.7057,4360846.5533,
172,2828,Borde_Area_Estudio,727510.7057,4360846.5533,
173,2829,Borde_Area_Estudio,727520.7057,4360846.5533,
174,2830,Borde_Area_Estudio,727530.7057,4360846.5533,
175,2831,Borde_Area_Estudio,727540.7057,4360846.5533,
176,2832,Borde_Area_Estudio,727550.7057,4360846.5533,
177,2833,Catarroja,727560.7057,4360846.5533,
178,2834,Catarroja,727570.7057,4360846.5533,
179,2835,Catarroja,727580.7057,4360846.5533,
180,2836,Catarroja,727590.7057,4360846.5533,
181,2984,Borde_Area_Estudio,727410.7057,4360856.5533,
182,2985,Borde_Area_Estudio,727420.7057,4360856.5533,
183,2986,Borde_Area_Estudio,727430.7057,4360856.5533,
184,2987,Borde_Area_Estudio,727440.7057,4360856.5533,
185,2988,Borde_Area_Estudio,727450.7057,4360856.5533,
186,2989,Borde_Area_Estudio,727460.7057,4360856.5533,
187,2990,Borde_Area_Estudio,727470.7057,4360856.5533,
188,2991,Borde_Area_Estudio,727480.7057,4360856.5533,
189,2992,Borde_Area_Estudio,727490.7057,4360856.5533,
190,2993,Borde_Area_Estudio,727500.7057,4360856.5533,
191,2994,Borde_Area_Estudio,727510.7057,4360856.5533,
192,2995,Borde_Area_Estudio,727520.7057,4360856.5533,
