POINT_X,POINT_Y,PLA_base,PLA_cf,Delta
722100.783712,4368256.33208,0.08482466545256705,0.09701782146882046,-0.012193156016253412
723433.073057,4366223.40778,0.18497504693748554,0.16770715548615459,0.017267891451330952
722813.226302,4367286.19402,0.16072655155221255,0.08833061470848555,0.072395936843727
723160.899717,4367841.3378,0.17480978598911323,0.14472315183106277,0.030086634158050463
722852.658687,4366346.10128,0.14524370187115923,0.1397232736885204,0.005520428182638842
723470.426741,4367741.50885,0.1446034360520374,0.1353748189139439,0.009228617138093503
722248.426011,4367339.57676,0.20726113934855828,0.17400461134106582,0.03325652800749246
723354.123634,4368041.87529,0.10980574543744809,0.11347663798490282,-0.0036708925474547294
723114.120311,4368272.75711,0.146768363472211,0.14324559802122178,0.0035227654509892292
723269.063549,4368003.25826,0.1750810801576434,0.13039458202029436,0.04468649813734904
