POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4
722419.698967,4365890.98005,0.0006079192156003949,0.6087275957722876,1.0,0.048881946844753554,0.38891537776325025,0.6035854089502949,0.7690728087655883,0.015238961534768234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722427.436773,4365890.98747,0.0011638404542703784,0.609929535532004,1.0,0.048881946844753554,0.38703831879930295,0.5977886156094514,0.7690728087655883,0.025734335316841665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722435.174581,4365890.99482,0.0017341505836011215,0.6089279402935793,1.0,0.048360377487244754,0.3851290001097211,0.5919910699555551,0.7632250356161651,0.03333789118604813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722442.912466,4365891.00226,0.0023622147679467852,0.6090948516041982,1.0,0.04783530731181801,0.3831863618267222,0.5861942766147116,0.7573985129031349,0.04205674392544629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722450.650274,4365891.00971,0.002997670535269205,0.6090948516041982,1.0,0.047306701310294075,0.38121037082943793,0.5803974832738682,0.7516005264904038,0.04205674392544629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722458.388082,4365891.01716,0.0036427914159917352,0.6089946793435523,1.0,0.04677457698676257,0.37919993412921726,0.5746006899330247,0.7458451276869335,0.04807343686459162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722466.12597,4365891.02454,0.004298795258155389,0.6092951961254899,1.0,0.04623774406313144,0.3771572708242304,0.5688038965921812,0.740125204101768,0.05837456023674836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722473.863779,4365891.03201,0.004798820222033229,0.6061233080408689,1.0,0.04569856559149521,0.3750801618163074,0.564456500728239,0.7344550672532943,0.07293766742164653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722481.601589,4365891.03949,0.0054764061458125665,0.6061233080408689,1.0,0.04515585129376182,0.37296970009409885,0.5586596631336865,0.7288559675779056,0.07293766742164653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722489.339477,4365891.04697,0.005549363833433295,0.5829187509361476,1.0,0.04515585129376182,0.37154384671774804,0.552862869792843,0.7288559675779056,0.09202995775426814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722497.077288,4365891.05447,0.0061957127979005554,0.5730693277383857,1.0,0.044610808952113085,0.36937671519003584,0.5470668287650524,0.7233350174665577,0.10478241889294237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722381.004156,4365898.64997,0.0,0.612400217795443,0.1893717631164152,0.21136833205446992,0.3989597778603242,0.6286990347735024,0.7965496230215953,0.03775917931194876,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722388.741952,4365898.65735,0.0,0.609795993748041,1.0,0.20872882036885793,0.3972427258106894,0.6246996500770723,0.7905668011804835,0.03528160774451489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
722396.479825,4365898.66475,0.0,0.6089279402935793,1.0,0.20608811840515368,0.3954934802771565,0.6191747515242747,0.7845982041212837,0.02836863457408567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
