POINT_X,POINT_Y,PLA_Real,PLA_Predicho
722248.426011,4367339.57676,6.274976824247041,6.207678428899649
723354.123634,4368041.87529,3.324650982328286,3.288791905051515
723114.120311,4368272.75711,4.408448592595314,4.395859285705915
723269.063549,4368003.25826,5.1356060146513665,5.243853469198896
722921.066784,4367864.19984,4.03167051095978,3.7792328864478195
723145.408226,4367864.43623,5.475916600716977,5.617536459141591
722015.829043,4368063.63722,23.23057064768434,19.698322810368555
723555.558048,4367703.07788,4.612150819197229,4.486664685404655
723417.511199,4366323.57639,5.005194255615397,5.02075420359363
722751.903726,4366561.77753,3.3752859831661963,3.3607413297209736
723169.603194,4366693.21446,5.063961741487248,5.0300223273194025
723131.333583,4366192.25823,2.9026756504443822,2.937261895133996
723122.181031,4367887.52644,6.010699337177761,5.9027327613280365
723471.599508,4366408.40697,4.949460245522561,4.961895506471866
722085.886111,4367447.29983,7.6612941062805495,7.548687861350513
723440.260324,4366855.33418,4.328639518358517,4.465308089142541
723262.53985,4366585.42658,6.289337841032702,6.292622894095548
723455.774742,4366809.11497,4.938616675667472,5.120527259414782
722465.299593,4367000.73752,4.527759022895795,4.476306033484089
722519.544186,4366885.20257,2.728483160857993,2.7364239656164715
722845.049398,4366184.25597,3.1260929689640546,3.121753910985651
722689.255888,4367524.93651,3.1048707570254592,3.239888899621857
723594.675073,4367217.67979,2.9687983052041416,2.974972404051048
722410.959037,4367247.26649,6.126298424315253,6.126003325790948
722402.773766,4367848.26864,6.0364525270475395,5.976260296276434
722233.225563,4366961.98627,3.985360088591361,4.357677862855844
723354.533239,4367571.8664,2.810774029926803,2.740899216462399
722240.622641,4367432.03425,5.462717422466846,5.528869998800725
722333.276204,4367678.6905,6.123039120979828,6.052672887132255
723432.617511,4366747.44081,4.156757817899163,4.19153067040032
722233.700404,4366299.25798,0.7412636615006036,0.7859730094859598
722936.871956,4367455.84148,3.5351626599496817,3.5572688605851934
722348.427798,4368110.18017,6.0628835843012885,6.090801116243702
723369.770444,4367841.56406,5.716893454427736,5.630892200905092
722131.720039,4368264.06563,3.9241396614935065,3.8958307927092863
722504.134259,4366800.42194,2.6062715966514127,2.5921122900393874
722580.442927,4368179.75032,6.890439629131517,6.7824962908219595
722489.196213,4366083.71676,0.6394190402609997,0.6669555174402914
722836.97613,4366608.10095,3.514863571046186,3.1462549763089527
722920.82107,4368164.68822,4.7829999452760035,4.757848189972588
722403.142275,4367355.1359,4.490710608058112,4.51865207541321
