POINT_X,POINT_Y,PLA
722388.736312,4365906.36419,0.0
722396.474178,4365906.37159,0.0
722404.211967,4365906.37899,0.0008831020095385
722411.949834,4365906.3864,0.005041120108217
722419.687624,4365906.39381,0.0106506003066897
722427.425417,4365906.40116,0.0163345001637935
722435.163286,4365906.40859,0.0220928005874156
722442.901078,4365906.41603,0.0279331002384424
722450.63887,4365906.42348,0.0360203012824058
722458.376742,4365906.43086,0.0427035987377166
722466.114536,4365906.43832,0.0494881011545658
722473.852407,4365906.44579,0.0546455010771751
722481.590202,4365906.45327,0.0616207011044025
722489.327997,4365906.46075,0.0617275014519691
722497.065872,4365906.46817,0.0683498010039329
722504.803668,4365906.47567,0.0792922973632812
722512.541464,4365906.48318,0.1236210018396377
722520.279339,4365906.49069,0.1070690006017685
722528.017136,4365906.49822,0.0821800008416175
722535.754937,4365906.50567,0.0908984988927841
722543.492813,4365906.51321,0.1271059960126876
722551.230612,4365906.52076,0.1540410071611404
722558.968489,4365906.52832,0.1292780041694641
722373.255109,4365914.05634,0.0
722380.992889,4365914.06372,0.0
722388.730747,4365914.07111,0.0
722396.468528,4365914.0785,0.0
722404.206312,4365914.08582,0.0030689199920743
722411.944171,4365914.09323,0.0073776198551058
722419.681953,4365914.10065,0.0132160000503063
722427.419814,4365914.10807,0.0191536005586385
722435.157597,4365914.11551,0.0251903999596834
722442.895384,4365914.12287,0.0313225015997886
722450.633246,4365914.13032,0.040193598717451
722458.371031,4365914.13777,0.0472240000963211
722466.108817,4365914.14523,0.0543536990880966
722473.846683,4365914.15263,0.0597705990076065
722481.584469,4365914.16011,0.0601062998175621
722489.322334,4365914.16759,0.0668774023652076
722497.060122,4365914.17509,0.0738105997443199
722504.79791,4365914.18259,0.1028880029916763
722512.535701,4365914.19002,0.1203420013189315
722520.273568,4365914.19754,0.0843105018138885
722528.011358,4365914.20506,0.1235959976911544
722535.749226,4365914.21259,0.1529349982738495
722543.487017,4365914.22013,0.2309630066156387
722551.224811,4365914.2276,0.2703340053558349
722558.96268,4365914.23516,0.1712969988584518
722566.700473,4365914.24272,0.1472170054912567
722574.438344,4365914.25029,0.1576920002698898
722365.51171,4365921.75587,0.0
722373.249482,4365921.76324,0.0
722380.987256,4365921.77054,0.0
722388.725106,4365921.77793,0.0
722396.46288,4365921.78532,0.0
722404.200731,4365921.79273,0.0047302199527621
722411.938505,4365921.80014,0.0091533698141574
722419.676282,4365921.80747,0.0151672000065445
722427.414135,4365921.8149,0.0212974995374679
722435.151911,4365921.82233,0.027540199458599
722442.889687,4365921.82977,0.0338879004120826
722450.627544,4365921.83714,0.0403404012322425
722458.365321,4365921.8446,0.050655398517847
722466.103177,4365921.85206,0.0580444000661373
722473.840955,4365921.85954,0.0636539012193679
722481.578734,4365921.86701,0.0637589022517204
722489.316594,4365921.87442,0.0707625970244407
722497.054374,4365921.88192,0.0843982994556427
722504.792155,4365921.88942,0.1174139976501464
722512.530013,4365921.89693,0.0859927982091903
722520.267795,4365921.90445,0.1003210023045539
722528.005579,4365921.91189,0.1782210022211074
722535.74344,4365921.91943,0.2076569944620132
722543.481223,4365921.92697,0.2414779961109161
722551.219084,4365921.93452,0.275505006313324
722558.956871,4365921.94199,0.2087630033493042
722566.694656,4365921.94956,0.1483400017023086
722574.432519,4365921.95713,0.1638759970664978
722582.170305,4365921.96471,0.1749060004949569
722589.908169,4365921.9723,0.183447003364563
722597.645958,4365921.97981,0.1721120029687881
722365.506092,4365929.46269,0.0
722373.243856,4365929.47006,0.0
722380.981698,4365929.47744,0.0
722388.719463,4365929.48482,0.0
722396.457231,4365929.49214,0.0010089899878948
722404.195074,4365929.49954,0.0069694500416517
722411.932841,4365929.50695,0.0115547003224492
722419.670685,4365929.51437,0.0178031995892524
722427.408455,4365929.52172,0.0241947006434202
722435.146223,4365929.52915,0.0307139996439218
722442.88407,4365929.5366,0.0373516008257865
722450.621839,4365929.54404,0.0440998002886772
722458.359609,4365929.5515,0.0509548000991344
722466.097459,4365929.55889,0.063028298318386
722473.83523,4365929.56636,0.0688934028148651
722481.573078,4365929.57384,0.0686665028333664
722489.31085,4365929.58132,0.0759735032916069
722497.048623,4365929.58882,0.1047360002994537
722504.786476,4365929.59625,0.0766505971550941
722512.524249,4365929.60376,0.1200290024280548
722520.262023,4365929.61127,0.1536159962415695
722527.999875,4365929.6188,0.1789249926805496
722535.737651,4365929.62633,0.2128300070762634
722543.475428,4365929.63379,0.2469269931316375
722551.213282,4365929.64135,0.2812190055847168
722558.951059,4365929.6489,0.2586899995803833
722566.688914,4365929.65647,0.1603299975395202
722574.426694,4365929.66396,0.1656039953231811
722582.164472,4365929.67154,0.1832599937915802
722589.902328,4365929.67913,0.1919209957122802
722597.640108,4365929.68672,0.2035939991474151
722605.377965,4365929.69433,0.1743469983339309
722613.115748,4365929.70186,0.1455149948596954
722620.853529,4365929.70948,0.1171000003814697
722357.762715,4365937.16221,-9999.0
722365.500471,4365937.16957,0.0
722373.238229,4365937.17687,0.0
722380.976064,4365937.18425,0.0
722388.713821,4365937.19163,0.0
722396.451656,4365937.19903,0.0
722404.189417,4365937.20635,0.0092391995713114
722411.927176,4365937.21376,0.0139904003590345
722419.665013,4365937.22118,0.0204868000000715
722427.402773,4365937.22861,0.0271454006433486
722435.140611,4365937.23604,0.0339469984173774
722442.878374,4365937.24341,0.0408744998276233
722450.616136,4365937.25086,0.0479164011776447
722458.353975,4365937.25831,0.0550651997327804
722466.091738,4365937.26578,0.068098098039627
722473.829501,4365937.27325,0.0661621019244194
722481.567345,4365937.28065,0.0736197978258133
722489.305109,4365937.28814,0.0812262967228889
722497.042874,4365937.29564,0.1098629981279373
722504.780717,4365937.30314,0.1173529997467994
722512.518483,4365937.31065,0.1244340017437934
722520.256251,4365937.31809,0.1583040058612823
722527.994096,4365937.32562,0.1838209927082061
722535.731863,4365937.33315,0.2179989963769912
722543.469708,4365937.34069,0.252360999584198
722551.207479,4365937.34817,0.2869150042533874
722558.945248,4365937.35572,0.3085860013961792
722566.683095,4365937.36329,0.2104679942131042
722574.420866,4365937.37086,0.1737439930438995
722582.158714,4365937.37844,0.1835059970617294
722589.896487,4365937.38595,0.2003020048141479
722597.634259,4365937.39355,0.2123319953680038
722605.372109,4365937.40115,0.2143149971961975
722613.109881,4365937.40876,0.1855700016021728
722620.847655,4365937.41638,0.1572189927101135
722628.585508,4365937.42393,0.1292629987001419
722636.323283,4365937.43156,0.1017059981822967
722644.061135,4365937.4392,0.0637015998363494
722357.757104,4365944.86901,0.1059250012040138
722365.494852,4365944.87637,0.0
722373.232678,4365944.88375,0.0
722380.970429,4365944.89105,0.0
722388.708256,4365944.89844,0.0
722396.446006,4365944.90583,0.0
722404.183757,4365944.91323,0.0
722411.921586,4365944.92065,0.0
722419.65934,4365944.92799,0.0
722427.397092,4365944.93541,0.0301590003073215
722435.134923,4365944.94285,0.0372467003762722
722442.872676,4365944.95029,0.0444660000503063
722450.61043,4365944.95774,0.0518017001450061
722458.348264,4365944.96512,0.0592422001063823
722466.086019,4365944.97259,0.0667838975787162
722473.823852,4365944.98006,0.0708770975470542
722481.561608,4365944.98754,0.0786304026842117
722489.299365,4365944.99503,0.0865307003259658
722497.037202,4365945.00245,0.1494390070438385
722504.774959,4365945.00995,0.1557900011539459
722512.512718,4365945.01746,0.1624850034713745
722520.250554,4365945.02498,0.1829359978437423
722527.988315,4365945.03243,0.1939450055360794
722535.726075,4365945.03996,0.2231670022010803
