POINT_X,POINT_Y,PLA,A,CIB,CICCB,DBB,DOB,P
722435.185952,4365875.58102,0.0010105261704995178,0.6098961660086869,0.04779067188336379,0.382967432887868,0.5925022445481201,0.7687885733367739,0.053735706108109293
722442.923775,4365875.58846,0.001561308684508577,0.6089946793435523,0.04727263835195218,0.3810403282920585,0.5867105403838107,0.7632321480071211,0.058725283841743615
722450.661675,4365875.5959,0.002120930130068545,0.6089946793435523,0.04675106899444335,0.37908103021235096,0.5809187919657922,0.75776089789599,0.058725283841743615
722458.399499,4365875.60335,0.0026920699534997493,0.593669660795705,0.04622599881901663,0.37708837941835804,0.5751270878014828,0.0,0.07337744777123341
722466.137323,4365875.61081,0.0016967505264571536,0.5757737877271116,0.045697392817492695,0.3750645950082498,0.5693360916965172,0.0,0.10493502813204356
722388.753231,4365883.24358,0.0,0.6105973081491908,0.20779378691114725,0.39496669286830965,0.6255399837571186,0.7949366715311373,0.01869462970490303
722396.491043,4365883.25097,0.0,0.6093953683861357,0.20519068373188204,0.3932251976179373,0.6197446507886719,0.7890675612088462,0.012722515051364154
722404.228933,4365883.25837,0.0,0.6095289101734375,0.20258642528270404,0.3914514757627988,0.613950025879569,0.7832197880594232,0.009057796133759401
722411.966745,4365883.26577,0.0,0.6095289101734375,0.19998332210343878,0.3896455273028938,0.6096033380749707,0.7774003777373489,0.009057796133759401
722419.704561,4365883.27311,0.0003442408650125593,0.6087275957722876,0.04859179905571222,0.38780735223822266,0.6038087131658678,0.7716023913246178,0.015238961534768234
722427.442452,4365883.28053,0.0007867185451253589,0.609929535532004,0.04859179905571222,0.3859380766783043,0.5980133801974211,0.7716023913246178,0.025734335316841665
722435.180266,4365883.28796,0.0013724444972137491,0.6089279402935793,0.04807376552430047,0.3840354484041004,0.5922187552883182,0.7658469057846724,0.03333789118604813
722442.918081,4365883.2954,0.0019622789303149727,0.6090948516041982,0.04755102339278923,0.3820994674156113,0.5864241303792154,0.760134181326938,0.04205674392544629
722450.655976,4365883.30277,0.0025597096604671075,0.6090948516041982,0.0470259532173624,0.38013235281100666,0.5806295054701125,0.7544640444784645,0.04205674392544629
722458.393792,4365883.31022,0.003167430684745737,0.6089946793435523,0.04649734721583846,0.37813082562433403,0.5748348805610096,0.7488649448030757,0.04807343686459162
722466.131608,4365883.31768,0.0037866484112877652,0.6092951961254899,0.045965205388217474,0.37609703871202693,0.5690402556519067,0.7433511070826837,0.05837456023674836
722473.869502,4365883.32515,0.004259132508392018,0.6061233080408689,0.04542956274267835,0.3740310583158216,0.5646942759066523,0.0,0.07293766742164653
722481.60732,4365883.33263,0.004900546659472197,0.6061233080408689,0.04489038427104212,0.371930599095812,0.5589004033106023,0.0,0.07293766742164653
722489.345215,4365883.34011,0.0037342387985082716,0.5829187509361476,0.04489038427104212,0.3705124960026218,0.5531064864608433,0.0,0.09202995775426814
722388.747591,4365890.95051,0.0,0.6105973081491908,0.2082565950399029,0.3960925042995649,0.6253253975222172,0.7926770996190101,0.01869462970490303
722396.485397,4365890.95782,0.0,0.6093953683861357,0.2056346924684183,0.39434657085285274,0.6195278518683208,0.7867511769055462,0.012722515051364154
722404.223279,4365890.96522,0.0,0.6095289101734375,0.20301282490511274,0.3925684108013743,0.6137303504681334,0.7808394789739943,0.009057796133759401
